SensorActivityACC: x=-0.1592144 y=0.061052144 z=9.351153
ACC: x=-0.14544775 y=-0.10235212 z=9.391854
GY: rotation around x axis=-0.013848438 around y axis=-0.0031957934 around z axis=-0.015978966
ACC: x=0.077811554 y=-0.095768064 z=9.237429
ACC: x=0.077811554 y=-0.095768064 z=9.237429
ACC: x=-0.011372458 y=-0.009576807 z=9.297882
ACC: x=-0.0712275 y=0.05566519 z=9.389461
ACC: x=0.002992752 y=0.023343466 z=9.415796
ACC: x=0.08379706 y=-0.09696517 z=9.388264
ACC: x=0.09935937 y=-0.10235212 z=9.43495
ACC: x=0.078410104 y=0.0664391 z=9.213487
ACC: x=-0.04129998 y=0.022744916 z=9.387665
GY: rotation around x axis=-0.013848438 around y axis=-0.0031957934 around z axis=-0.014913702
ACC: x=-0.17956513 y=-0.06703765 z=9.409213
ACC: x=-0.5291186 y=0.1592144 z=9.416395
ACC: x=-0.7326257 y=-0.076015905 z=9.618107
ACC: x=-1.3479356 y=1.1264719 z=9.044097
ACC: x=-1.4257472 y=0.15442601 z=10.085575
ACC: x=-1.3425486 y=-1.1055226 z=19.612701
ACC: x=-1.7124528 y=0.9247604 z=19.612701
ACC: x=-0.011372458 y=-1.0815806 z=6.178836
ACC: x=1.6747441 y=1.5562311 z=-9.249998
GY: rotation around x axis=0.90973586 around y axis=-10.16795 around z axis=0.79042625
ACC: x=8.033145 y=-1.7082629 z=0.3669114
ACC: x=6.707356 y=-4.0982747 z=2.6246436
ACC: x=6.367978 y=-3.515885 z=6.5259953
ACC: x=5.309142 y=1.8890251 z=0.931943
ACC: x=6.4864907 y=3.755904 z=-6.4020953
ACC: x=8.659827 y=-3.6966474 z=6.42903
ACC: x=6.1327477 y=-5.2941785 z=7.2298903
ACC: x=5.1571107 y=-0.3824737 z=7.2568254
ACC: x=5.592855 y=1.7399861 z=6.7947445
GY: rotation around x axis=-1.3060142 around y axis=3.4120421 around z axis=0.42077947
ACC: x=8.371924 y=-0.04369418 z=8.860342
ACC: x=11.657967 y=0.33399114 z=14.51784
ACC: x=8.8777 y=-1.9027919 z=10.506954
ACC: x=4.3287168 y=-0.7733272 z=7.529764
ACC: x=2.546832 y=-0.008978256 z=6.3631897
ACC: x=0.5781997 y=0.74998367 z=5.849035
ACC: x=-0.95468795 y=1.2132617 z=8.693945
ACC: x=-2.333748 y=0.65900403 z=11.953052
