SensorActivityACC: x=0.6703765 y=9.159617 z=2.6378117
ACC: x=0.47405192 y=8.992023 z=3.1741128
ACC: x=0.51235914 y=9.039907 z=3.3129766
ACC: x=0.5410896 y=9.236232 z=3.2890346
ACC: x=0.521936 y=9.063849 z=3.518878
ACC: x=0.35434186 y=8.704719 z=3.3369186
ACC: x=0.20111294 y=8.723872 z=3.2842462
ACC: x=0.44532153 y=9.044696 z=3.0831332
ACC: x=0.6655881 y=9.063849 z=3.4757824
GY: rotation around x axis=-0.21518342 around y axis=0.06924219 around z axis=0.07882957
ACC: x=0.45489833 y=9.059061 z=3.5763388
ACC: x=0.14844051 y=9.063849 z=3.8780081
ACC: x=0.545878 y=8.977658 z=3.8684313
ACC: x=0.59855044 y=8.905831 z=3.4997244
ACC: x=0.50278234 y=8.944139 z=3.5332432
ACC: x=0.46926352 y=8.996812 z=3.6673183
ACC: x=0.63206923 y=8.968081 z=3.719991
ACC: x=0.90500826 y=8.992023 z=3.4805708
ACC: x=0.89064306 y=9.039907 z=3.1214404
ACC: x=0.63206923 y=8.977658 z=3.3848026
GY: rotation around x axis=0.035153728 around y axis=-0.024501082 around z axis=-0.049002163
ACC: x=0.59855044 y=8.944139 z=3.3225534
ACC: x=0.5506664 y=9.011177 z=3.389591
ACC: x=0.6655881 y=9.025542 z=3.2267854
ACC: x=0.58418524 y=8.958505 z=3.3464954
ACC: x=0.4213795 y=8.896255 z=3.3464954
ACC: x=0.5793968 y=9.020754 z=3.4278982
ACC: x=0.7661445 y=9.063849 z=3.3464954
ACC: x=0.61770403 y=9.0016 z=3.4901476
ACC: x=0.61291564 y=8.944139 z=3.4231098
GY: rotation around x axis=-0.034088463 around y axis=-0.024501082 around z axis=0.011717909
ACC: x=0.49320555 y=8.982447 z=3.4422636
ACC: x=0.34476504 y=8.934562 z=3.4374752
ACC: x=0.61291564 y=8.944139 z=3.2650926
ACC: x=0.5793968 y=8.934562 z=3.4853592
ACC: x=1.0630256 y=9.039907 z=3.5140896
ACC: x=0.9528923 y=9.193136 z=3.518878
ACC: x=0.7757214 y=9.164406 z=3.6242228
ACC: x=0.78529817 y=9.097368 z=3.6816838
ACC: x=0.6464345 y=9.006389 z=3.4997244
GY: rotation around x axis=0.013848438 around y axis=0.002130529 around z axis=-0.01917476
ACC: x=0.6847417 y=9.039907 z=3.3033998
ACC: x=0.60333884 y=8.853159 z=3.2076318
ACC: x=0.7278373 y=8.987235 z=3.4039562
ACC: x=0.6512229 y=9.025542 z=3.6098576
ACC: x=0.5746084 y=8.929773 z=3.5380316
ACC: x=0.7661445 y=9.054273 z=3.470994
ACC: x=0.7565677 y=8.996812 z=3.470994
ACC: x=0.7374141 y=8.891466 z=3.4039562
ACC: x=0.47884035 y=9.011177 z=3.518878
GY: rotation around x axis=-0.011717909 around y axis=-0.018109497 around z axis=-0.034088463
ACC: x=0.5793968 y=8.944139 z=3.447052
ACC: x=0.8858546 y=8.977658 z=3.470994
ACC: x=0.7565677 y=9.011177 z=3.6098576
ACC: x=0.7086837 y=8.982447 z=3.6098576
ACC: x=0.7517793 y=8.987235 z=3.5763388
ACC: x=0.5793968 y=9.030331 z=3.54282
ACC: x=0.8858546 y=9.011177 z=3.5093012
ACC: x=0.79966336 y=9.087791 z=3.4326868
ACC: x=0.89543146 y=8.958505 z=3.566762
GY: rotation around x axis=-0.03089267 around y axis=-0.0053263223 around z axis=-0.023435818
ACC: x=0.7661445 y=8.929773 z=3.3464954
ACC: x=0.6703765 y=9.020754 z=3.4231098
ACC: x=0.58418524 y=8.881889 z=3.4087446
ACC: x=0.7326257 y=9.059061 z=3.3369186
ACC: x=0.79008657 y=8.958505 z=3.4997244
ACC: x=0.79487497 y=8.97287 z=3.4997244
ACC: x=0.63206923 y=8.977658 z=3.6194344
ACC: x=0.6991069 y=8.920197 z=3.4997244
ACC: x=0.81402856 y=8.920197 z=3.3752258
GY: rotation around x axis=-0.015978966 around y axis=0.029827405 around z axis=0.0053263223
ACC: x=0.9624691 y=9.059061 z=3.3704374
ACC: x=0.7565677 y=9.126099 z=3.4805708
ACC: x=0.7613561 y=8.996812 z=3.447052
ACC: x=0.7517793 y=9.054273 z=3.4422636
ACC: x=0.7038953 y=8.91062 z=3.413533
ACC: x=0.8571242 y=8.944139 z=3.4422636
ACC: x=0.7038953 y=8.992023 z=3.5859156
ACC: x=0.60333884 y=8.901043 z=3.4997244
ACC: x=0.7278373 y=8.929773 z=3.2986114
GY: rotation around x axis=0.002130529 around y axis=0.015978966 around z axis=0.02876214
ACC: x=0.8858546 y=9.054273 z=3.5140896
ACC: x=0.89543146 y=9.049484 z=3.7056258
ACC: x=0.81881696 y=9.030331 z=3.5476084
ACC: x=0.7565677 y=9.087791 z=3.4422636
ACC: x=0.7374141 y=8.896255 z=3.5332432
ACC: x=0.7661445 y=8.915408 z=3.4757824
ACC: x=0.89543146 y=8.968081 z=3.5476084
ACC: x=0.7038953 y=9.09258 z=3.3225534
ACC: x=0.81881696 y=9.025542 z=3.470994
GY: rotation around x axis=-0.010652645 around y axis=0.011717909 around z axis=-0.017044231
ACC: x=0.79008657 y=8.982447 z=3.5045128
ACC: x=0.7661445 y=9.011177 z=3.4183214
ACC: x=0.61770403 y=8.996812 z=3.4231098
ACC: x=0.7134721 y=8.93935 z=3.518878
ACC: x=0.6751649 y=8.934562 z=3.4422636
ACC: x=0.6943185 y=8.934562 z=3.5045128
ACC: x=0.5506664 y=8.901043 z=3.4087446
ACC: x=0.6703765 y=8.977658 z=3.2842462
ACC: x=0.8810662 y=9.030331 z=3.4805708
GY: rotation around x axis=-0.037284255 around y axis=0.01917476 around z axis=0.03089267
ACC: x=0.94331545 y=9.0016 z=3.5284548
ACC: x=0.7565677 y=9.011177 z=3.4757824
ACC: x=0.51235914 y=8.905831 z=3.5236664
ACC: x=0.51714754 y=8.896255 z=3.4087446
ACC: x=0.6799533 y=8.97287 z=3.317765
ACC: x=1.0534488 y=9.054273 z=3.413533
ACC: x=0.81881696 y=8.958505 z=3.4997244
ACC: x=0.6943185 y=9.025542 z=3.5859156
ACC: x=0.78050977 y=9.011177 z=3.7008374
