SensorActivityACC: x=0.0 y=0.19692309 z=8.978256
ACC: x=-0.026934769 y=0.15502456 z=9.060856
ACC: x=0.05267244 y=0.045489833 z=9.291897
ACC: x=0.1412579 y=0.25677812 z=9.419388
GY: rotation around x axis=-0.02130529 around y axis=-0.007456851 around z axis=-0.017044231
ACC: x=0.12808979 y=0.40940848 z=9.407417
ACC: x=0.18255788 y=0.22864626 z=9.405023
ACC: x=0.110731825 y=0.11911154 z=9.295488
ACC: x=0.022744916 y=0.1592144 z=9.249998
ACC: x=-0.0047884034 y=0.17357962 z=9.333796
ACC: x=-0.040102877 y=0.2208651 z=9.397242
ACC: x=-0.050278235 y=0.31783026 z=9.3421755
ACC: x=-0.008978256 y=0.27952304 z=9.382876
ACC: x=0.014963761 y=0.20111294 z=9.416994
GY: rotation around x axis=-0.02130529 around y axis=-0.0053263223 around z axis=-0.017044231
ACC: x=0.08319851 y=0.1921347 z=9.312247
ACC: x=0.1448492 y=0.108936176 z=9.269152
ACC: x=0.17118542 y=0.13826515 z=9.288904
ACC: x=0.107739076 y=0.19752164 z=9.331401
ACC: x=0.039504327 y=0.26874915 z=9.384672
ACC: x=0.024540568 y=0.272939 z=9.406818
ACC: x=0.02873042 y=0.24779987 z=9.375095
ACC: x=0.01616086 y=0.20530279 z=9.314642
ACC: x=0.032920275 y=0.16340427 z=9.328408
GY: rotation around x axis=-0.015978966 around y axis=-0.0031957934 around z axis=-0.017044231
ACC: x=0.020949265 y=0.17717093 z=9.312247
ACC: x=0.05686229 y=0.22864626 z=9.343372
ACC: x=0.091578215 y=0.20111294 z=9.383475
ACC: x=0.08559271 y=0.18674773 z=9.36911
ACC: x=0.09756372 y=0.1921347 z=9.323022
ACC: x=0.077213004 y=0.20709845 z=9.35235
ACC: x=0.0664391 y=0.18854338 z=9.35235
ACC: x=0.073621705 y=0.20111294 z=9.346365
ACC: x=0.013766659 y=0.2220622 z=9.3421755
GY: rotation around x axis=-0.013848438 around y axis=-0.004261058 around z axis=-0.015978966
ACC: x=-0.020350715 y=0.22744916 z=9.337387
ACC: x=-0.024540568 y=0.19273324 z=9.345168
ACC: x=0.040102877 y=0.15741876 z=9.279327
ACC: x=0.11133038 y=0.16519992 z=9.285313
ACC: x=0.14664486 y=0.18974048 z=9.346964
ACC: x=0.14065935 y=0.25857377 z=9.40203
ACC: x=0.08080431 y=0.26396075 z=9.412206
ACC: x=0.037110128 y=0.23463176 z=9.363124
ACC: x=-0.022744916 y=0.17896658 z=9.32362
GY: rotation around x axis=-0.015978966 around y axis=-0.007456851 around z axis=-0.017044231
ACC: x=-0.04249708 y=0.17956513 z=9.336788
ACC: x=-0.005985504 y=0.29328972 z=9.357738
ACC: x=0.050876785 y=0.24361002 z=9.345766
ACC: x=0.09696517 y=0.19033903 z=9.367314
ACC: x=0.10654198 y=0.13946225 z=9.293094
ACC: x=0.0724246 y=0.16519992 z=9.32362
ACC: x=0.038307227 y=0.14185645 z=9.355942
ACC: x=0.061052144 y=0.2208651 z=9.327211
GY: rotation around x axis=-0.008522116 around y axis=-0.0053263223 around z axis=-0.015978966
ACC: x=0.074818805 y=0.2693477 z=9.366715
ACC: x=0.08559271 y=0.28191724 z=9.409213
ACC: x=0.05865794 y=0.24420857 z=9.376891
ACC: x=0.019153614 y=0.21547815 z=9.361329
ACC: x=5.985504E-4 y=0.18974048 z=9.302073
ACC: x=0.023942016 y=0.1921347 z=9.329605
ACC: x=0.044891283 y=0.2184709 z=9.331401
ACC: x=0.0700304 y=0.18555063 z=9.376891
ACC: x=0.076614454 y=0.16579847 z=9.337387
GY: rotation around x axis=-0.0127831735 around y axis=-0.0053263223 around z axis=-0.014913702
ACC: x=0.10594343 y=0.18734628 z=9.330803
ACC: x=0.09696517 y=0.1933318 z=9.354745
ACC: x=0.077811554 y=0.19812019 z=9.354146
ACC: x=0.0664391 y=0.23044191 z=9.369708
ACC: x=0.02873042 y=0.2184709 z=9.4457245
ACC: x=0.015562311 y=0.23463176 z=9.36911
ACC: x=0.025139118 y=0.14664486 z=9.357738
ACC: x=0.025139118 y=-0.85413146 z=9.802461
ACC: x=0.08559271 y=-1.1815386 z=9.221867
ACC: x=0.83018947 y=-0.3728969 z=9.612122
GY: rotation around x axis=-0.03195793 around y axis=-0.12144015 around z axis=-0.2428803
ACC: x=0.98700964 y=-1.9812019 z=9.339781
ACC: x=0.14065935 y=-2.296638 z=11.182717
ACC: x=-1.5209166 y=1.3102269 z=11.066599
ACC: x=-1.6286557 y=-0.35793316 z=11.666347
ACC: x=0.705691 y=-1.2605472 z=11.289858
ACC: x=3.5577838 y=0.42556936 z=11.765107
ACC: x=5.8801594 y=1.0696096 z=12.257115
