SensorActivityACC: x=0.021547815 y=0.19153613 z=9.278131
ACC: x=0.0047884034 y=0.23104046 z=9.261371
ACC: x=0.0077811554 y=0.22804771 z=9.337387
ACC: x=-0.005985504 y=0.25797522 z=9.388264
ACC: x=0.022744916 y=0.28431144 z=9.340978
ACC: x=-0.006584055 y=0.2124854 z=9.323022
ACC: x=0.049081136 y=0.16938977 z=9.366715
ACC: x=0.055066638 y=0.19812019 z=9.330803
ACC: x=0.06703765 y=0.23762453 z=9.346365
ACC: x=0.038307227 y=0.2657564 z=9.382876
GY: rotation around x axis=-0.0127831735 around y axis=-0.0063915867 around z axis=-0.018109497
ACC: x=0.038905777 y=0.29209262 z=9.363723
ACC: x=0.035913024 y=0.24480712 z=9.297882
ACC: x=0.04369418 y=0.17836803 z=9.314642
ACC: x=0.009576807 y=0.20530279 z=9.308058
ACC: x=-0.0017956513 y=0.20649989 z=9.3343935
ACC: x=-0.025737667 y=0.26635495 z=9.384073
ACC: x=-5.985504E-4 y=0.2753332 z=9.344569
ACC: x=0.0035913025 y=0.27952304 z=9.3733
ACC: x=0.051475335 y=0.24301147 z=9.295488
GY: rotation around x axis=-0.01917476 around y axis=-0.0053263223 around z axis=-0.018109497
ACC: x=0.05865794 y=0.1604115 z=9.369708
ACC: x=0.04309563 y=0.14844051 z=9.433753
ACC: x=0.065242 y=0.22804771 z=9.354745
ACC: x=0.077213004 y=0.2705448 z=9.320627
ACC: x=0.08080431 y=0.2645593 z=9.336788
ACC: x=0.025737667 y=0.25318682 z=9.359533
ACC: x=-0.04369418 y=0.2220622 z=9.356541
ACC: x=-0.031124622 y=0.19093758 z=9.301474
ACC: x=-5.985504E-4 y=0.21068975 z=9.330803
GY: rotation around x axis=-0.013848438 around y axis=-0.004261058 around z axis=-0.017044231
ACC: x=0.059855044 y=0.22864626 z=9.36073
ACC: x=0.077213004 y=0.29568392 z=9.339781
ACC: x=0.0712275 y=0.25378537 z=9.357139
ACC: x=0.046088383 y=0.19033903 z=9.308656
