SensorActivityACC: x=-0.039504327 y=0.16879122 z=9.331401
ACC: x=-0.037708677 y=0.16579847 z=9.3421755
ACC: x=-0.05566519 y=0.15861586 z=9.357139
ACC: x=-0.03172317 y=0.17058687 z=9.368511
ACC: x=-0.060453594 y=0.18854338 z=9.437345
ACC: x=-0.04070143 y=0.18016368 z=9.367314
GY: rotation around x axis=-0.014913702 around y axis=-0.004261058 around z axis=-0.018109497
ACC: x=-0.037708677 y=0.18555063 z=9.388264
ACC: x=-0.032920275 y=0.18136078 z=9.38168
ACC: x=-0.05925649 y=0.15861586 z=9.379884
ACC: x=-0.033518825 y=0.17717093 z=9.454104
ACC: x=-0.061650693 y=0.17298107 z=9.380483
ACC: x=-0.0700304 y=0.19752164 z=9.375694
ACC: x=-0.047884032 y=0.142455 z=9.391256
ACC: x=-0.061052144 y=0.17597382 z=9.414001
ACC: x=-0.05805939 y=0.17238252 z=9.360131
GY: rotation around x axis=-0.017044231 around y axis=-0.0031957934 around z axis=-0.01917476
ACC: x=-0.05267244 y=0.18255788 z=9.3661175
ACC: x=-0.02633622 y=0.17956513 z=9.398438
ACC: x=-0.050876785 y=0.16819267 z=9.400833
ACC: x=-0.055066638 y=0.16519992 z=9.35235
ACC: x=-0.04369418 y=0.16639702 z=9.36911
ACC: x=-0.044292733 y=0.17776948 z=9.3661175
ACC: x=-0.04369418 y=0.15083471 z=9.363723
ACC: x=-0.0676362 y=0.1945289 z=9.420585
ACC: x=-0.05805939 y=0.16101007 z=9.335591
GY: rotation around x axis=-0.017044231 around y axis=-0.0031957934 around z axis=-0.01917476
ACC: x=-0.04129998 y=0.17717093 z=9.386468
ACC: x=-0.055066638 y=0.18614918 z=9.389461
ACC: x=-0.05626374 y=0.17896658 z=9.338584
ACC: x=-0.044891283 y=0.20231004 z=9.414599
ACC: x=-0.034715924 y=0.17118542 z=9.3661175
ACC: x=-0.06284779 y=0.17657238 z=9.394848
ACC: x=-0.048482586 y=0.15502456 z=9.380483
ACC: x=-0.048482586 y=0.18136078 z=9.401431
ACC: x=-0.05566519 y=0.16160862 z=9.34038
GY: rotation around x axis=-0.014913702 around y axis=-0.0031957934 around z axis=-0.01917476
ACC: x=-0.046686932 y=0.16400282 z=9.407417
ACC: x=-0.073023155 y=0.18614918 z=9.376292
ACC: x=-0.0712275 y=0.16639702 z=9.354745
ACC: x=-0.06404489 y=0.16160862 z=9.40203
ACC: x=-0.05746084 y=0.17717093 z=9.363723
ACC: x=-0.08140286 y=0.17717093 z=9.380483
ACC: x=-0.03232172 y=0.17298107 z=9.355942
ACC: x=-0.04369418 y=0.16759412 z=9.424775
ACC: x=-0.051475335 y=0.17058687 z=9.320028
GY: rotation around x axis=-0.014913702 around y axis=-0.0053263223 around z axis=-0.020240024
ACC: x=-0.07182605 y=0.18794483 z=9.3343935
ACC: x=-0.07062895 y=0.18435353 z=9.412206
ACC: x=-0.054468088 y=0.17597382 z=9.369708
ACC: x=-0.02813187 y=0.17298107 z=9.394249
ACC: x=-0.094570965 y=0.17118542 z=9.515755
ACC: x=-0.05267244 y=0.19692309 z=9.389461
ACC: x=-0.13467385 y=0.14604631 z=9.541492
ACC: x=-0.9211691 y=-0.7697359 z=9.186552
ACC: x=-2.598906 y=-1.5735891 z=9.858126
GY: rotation around x axis=-0.03195793 around y axis=-0.12463594 around z axis=-0.98110855
ACC: x=0.54767364 y=-1.9877859 z=8.525752
ACC: x=2.8179753 y=0.66020113 z=8.016386
ACC: x=0.22924481 y=0.81283146 z=10.017939
